RO # ,DATE MADE ,SHOP NAME ,PART # ,SERIAL # ,PART DESCRIPTION ,REQ WORK ,DATE DROPPED OFF ,ESTIMATED COST ,FINAL COST ,TERMS ,SHOP REF # ,ESTIMATED DELIVERY DATE ,CURENT STATUS ,CURENT STATUS DATE ,GENTHRUST STATUS ,SHOP STATUS ,TRACKING NUMBER / PICKING UP ,NOTES ,LAST DATE UPDATED ,NEXT DATE TO UPDATE ,Checked
38436,9/4/2025,WORLD INNOVATIONS SUPPORT,519858-8,RG012,STARTER ,OH,,"$2,800.00","$2,800.00",NET 30,25-155,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
38437,9/4/2025,WORLD INNOVATIONS SUPPORT,211C233-521,U01113,HYD SWITCH,RP,,$350.00,"$2,200.00",NET 30,25-171,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
38438,9/4/2025,WORLD INNOVATIONS SUPPORT,2790583-108,4251P,VALVE,RP,,"$1,500.00","$2,200.00",NET 30,25-172,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
38439,9/4/2025,WORLD INNOVATIONS SUPPORT,519858-8,OA-10690,STARTER APU ,OH,,"$3,000.00","$3,000.00",NET 30,,,PAID >>>>,10/22/2025,,,,,10/22/2025,11/5/2025,yes
38440,9/4/2025,WORLD INNOVATIONS SUPPORT,398908-5,4742,TEMP CONTROL VALVE ,OH,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38441,9/4/2025,WORLD INNOVATIONS SUPPORT,398908-5,5556,VALVE,OH,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38442,9/4/2025,WORLD INNOVATIONS SUPPORT,398908-5,4744,VALVE,OH,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38443,9/4/2025,WORLD INNOVATIONS SUPPORT,398908-5,3813,TEMP CONTROL VALVE ,OH,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38444,9/4/2025,WORLD INNOVATIONS SUPPORT,398908-5,3611,TEMP CONTROL VALVE ,OH,,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38447,9/4/2025,SAL AEROSPACE TECHNOLOGY,322895-18,.0443.,BLEEDING VALVE,OH,,,,PREPAID,,,BER,10/15/2025,,,,,10/15/2025,10/29/2025,
38448,9/4/2025,NOBEL AEROSPACE,625934-6,119C-699,CABIN PRESSURE CONTL,RP,,,,NET 30,,,WAITING QUOTE ,9/11/2025,,,,,9/11/2025,9/25/2025,
38449,9/4/2025,NOBEL AEROSPACE,233N3215-16,D00489,BLEED AIR PANEL,RP,,"$2,500.00",,NET 30,,,APPROVED >>>>,10/21/2025,,,,,10/21/2025,11/4/2025,yes
38450,9/4/2025,ALTIMA TECHNOLOGIES,10-617075-6,94431137,IGNITION EXCITER,RP,,"$2,026.00","$2,316.00",NET 30,10073768,,APPROVED >>>>,10/13/2025,,,,,10/13/2025,10/27/2025,
38451,9/4/2025,DELTA TECH OPS,2117342-19,2,ECU,RP,SHIPPING,"$8,829.40",,PREPAID,,,APPROVED >>>>,11/4/2025,,,,,11/4/2025,11/18/2025,
38452,9/4/2025,SOUTHWINGS AVIONICS,2790598-102,1051,VALVE,OH,9/11/2025,"$2,045.00",,NET 30,24792,,APPROVED >>>>,9/15/2025,,,,,9/15/2025,9/29/2025,
38453,9/4/2025,SOUTHWINGS AVIONICS,IFA14013-6,FAH1857A-B,ACTUATOR,OH,9/11/2025,"$1,800.00","$1,800.00",NET 30,24793,,PAID >>>>,10/16/2025,,READY FOR PICK UP 10/14,,,10/16/2025,10/30/2025,YES
38455,9/4/2025,SOUTHWINGS AVIONICS,3882500-17,22197,FUEL CONTROL,RP,,,,NET 30,,,WAITING QUOTE ,9/11/2025,,,,,9/11/2025,9/25/2025,
38458,9/4/2025,WORLD INNOVATIONS SUPPORT,3289696-1,1451,LOW LIMIT VALVE ASSY,RP,SHIPPING,,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,10/2/2025,10/16/2025,No
38459,9/4/2025,SUNSHINE AVIONICS,066-50008-0406,12177,TRANSCEIVER,RP,,$55.00,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,9/4/2025,9/18/2025,
38460,9/4/2025,AERO TECH,3888058-7,220177,EXCITER,RP,,$30.00,,NET 30,,,WAITING QUOTE ,9/4/2025,,,,,9/4/2025,9/18/2025,
38461,9/4/2025,GYRO SPECIALIST INC,1151324-1,1151324-07217,ELT,OH,SHIPPING,"$2,500.00",,NET 30,.010051.,9/26/2025,APPROVED >>>>,9/12/2025,,,,,9/12/2025,9/26/2025,
38462,9/4/2025,SETNIX,3885081-1,1842,APU FLOW SENSING MO,RP,SHIPPING,,,PREPAID,,,WAITING QUOTE ,10/3/2025,,,,,10/6/2025,10/20/2025,Yes
38463,9/4/2025,INNOVATIVE SOLUTION & SUPPORT,9D-84031-5,65391,INTEGRATED FLAT PAN,RP,SHIPPING,"$3,901.75",,PREPAID,28177,,APPROVED >>>>,9/23/2025,,,,,9/23/2025,10/7/2025,
38465,9/4/2025,INNOVATIVE SOLUTION & SUPPORT,9B-84032-5,27000,CDU,RP,SHIPPING,"$3,299.78",,PREPAID,28173,,APPROVED >>>>,9/23/2025,,,,,9/23/2025,10/7/2025,
38466,9/4/2025,INNOVATIVE SOLUTION & SUPPORT,9B-84032-11,22618,CONCENTRATOR UNIT,RP,,"$3,299.78",,PREPAID,28174,,APPROVED >>>>,9/25/2025,,,,,9/25/2025,10/9/2025,
38467,9/4/2025,UNICORP SYSTEMS,071-50001-8102,17554,ANTENNA,OH,SHIPPING,"$1,338.00",,PREPAID,1161384,,APPROVED >>>>,9/22/2025,,,4375 4696 3621,,9/22/2025,10/6/2025,
38468,9/5/2025,WORLD INNOVATIONS SUPPORT,398750-5,1793C,CONTROL VALVE ,IP,,,,C.O.D,,,WAITING QUOTE ,9/5/2025,,,,,10/2/2025,10/16/2025,
38469,9/5/2025,WORLD INNOVATIONS SUPPORT,519858-8,24-3706,STARTER APU ,OH,,,,C.O.D,,,WAITING QUOTE ,9/5/2025,,,,,10/2/2025,10/16/2025,No
38470,9/5/2025,BRITT METAL PROCESSING,316N3312-5,NSN,WEARPLATE,OH,,,,PREPAID,,,PAID >>>>,10/30/2025,,,,,10/30/2025,11/13/2025,YES
38471,9/9/2025,WORLD INNOVATIONS SUPPORT,976J498-2,XI11632,GENERATOR,OH,,,,COD,,,WAITING QUOTE ,,,,,,10/2/2025,10/16/2025,No
38474,9/12/2025,WORLD INNOVATIONS SUPPORT,700842A,13427,CSD,OH,,"$6,500.00","$6,500.00",NET 30,25-164,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
38475,9/12/2025,WORLD INNOVATIONS SUPPORT,731753,A0495,CSD,OH,,"$6,500.00","$6,500.00",NET 30,25-165,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
38476,9/12/2025,WORLD INNOVATIONS SUPPORT,680640-4,31-2286,ACM,OH,,"$5,500.00","$5,500.00",NET 30,25-166,,PAID >>>>,10/16/2025,,,,,10/16/2025,10/30/2025,yes
38477,9/12/2025,WORLD INNOVATIONS SUPPORT,727810C,1507,GENERATOR 90KVA,OH,,"$5,000.00",,NET 30,,,APPROVED >>>>,9/23/2025,,,,,10/2/2025,10/16/2025,No
